
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      32 |        1280 |       00:49:59 |       99.19% |              |       0.0927 |              |      5.0000e-05 |
|      33 |        1300 |       00:50:51 |       99.15% |       98.93% |       0.0847 |       0.1355 |      5.0000e-05 |
|      33 |        1320 |       00:51:36 |       99.07% |              |       0.0645 |              |      5.0000e-05 |
|      34 |        1340 |       00:52:23 |       99.21% |              |       0.0624 |              |      5.0000e-05 |
|      34 |        1360 |       00:53:08 |       99.37% |              |       0.0673 |              |      5.0000e-05 |
|      35 |        1380 |       00:53:54 |       99.44% |              |       0.0627 |              |      5.0000e-05 |
|      35 |        1400 |       00:54:45 |       99.51% |       98.88% |       0.0556 |       0.1371 |      5.0000e-05 |
|      36 |        1420 |       00:55:32 |       99.14% |              |       0.1042 |              |      5.0000e-05 |
|      36 |        1440 |       00:56:17 |       99.24% |              |       0.0867 |              |      5.0000e-05 |
|      37 |        1460 |       00:57:04 |       99.30% |              |       0.0735 |              |      5.0000e-05 |
|      37 |        1480 |       00:57:49 |       99.44% |              |       0.0497 |              |      5.0000e-05 |
|      38 |        1500 |       00:58:41 |       99.32% |       98.94% |       0.0615 |       0.1381 |      5.0000e-05 |
|      38 |        1520 |       00:59:26 |       99.36% |              |       0.0644 |              |      5.0000e-05 |
|      39 |        1540 |       01:00:13 |       99.36% |              |       0.0585 |              |      5.0000e-05 |
|      39 |        1560 |       01:00:58 |       99.55% |              |       0.0553 |              |      5.0000e-05 |
|      40 |        1580 |       01:01:45 |       99.20% |              |       0.0773 |              |      5.0000e-05 |
|      40 |        1600 |       01:02:36 |       99.34% |       98.94% |       0.0774 |       0.1376 |      5.0000e-05 |
|      41 |        1620 |       01:03:23 |       99.31% |              |       0.0746 |              |      5.0000e-06 |
|      41 |        1640 |       01:04:08 |       99.47% |              |       0.0697 |              |      5.0000e-06 |
|      42 |        1660 |       01:04:54 |       99.25% |              |       0.0660 |              |      5.0000e-06 |
|      42 |        1680 |       01:05:39 |       99.43% |              |       0.0478 |              |      5.0000e-06 |
|      43 |        1700 |       01:06:31 |       99.34% |       98.94% |       0.0550 |       0.1376 |      5.0000e-06 |
|      43 |        1720 |       01:07:17 |       99.40% |              |       0.0659 |              |      5.0000e-06 |
|      44 |        1740 |       01:08:03 |       99.30% |              |       0.0756 |              |      5.0000e-06 |
|      44 |        1760 |       01:08:48 |       99.18% |              |       0.0833 |              |      5.0000e-06 |
|      45 |        1780 |       01:09:35 |       99.05% |              |       0.0853 |              |      5.0000e-06 |
|      45 |        1800 |       01:10:25 |       99.22% |       98.96% |       0.0837 |       0.1369 |      5.0000e-06 |
|      46 |        1820 |       01:11:12 |       99.35% |              |       0.0629 |              |      5.0000e-06 |
|      46 |        1840 |       01:11:57 |       99.39% |              |       0.0593 |              |      5.0000e-06 |
|      47 |        1860 |       01:12:44 |       99.51% |              |       0.0634 |              |      5.0000e-06 |
|      47 |        1880 |       01:13:29 |       99.03% |              |       0.0868 |              |      5.0000e-06 |
|      48 |        1900 |       01:14:21 |       99.36% |       98.95% |       0.0716 |       0.1327 |      5.0000e-06 |
|      48 |        1920 |       01:15:07 |       99.09% |              |       0.0826 |              |      5.0000e-06 |
|      49 |        1940 |       01:15:53 |       99.22% |              |       0.0725 |              |      5.0000e-06 |
|      49 |        1960 |       01:16:38 |       99.33% |              |       0.0635 |              |      5.0000e-06 |
|      50 |        1980 |       01:17:25 |       99.28% |              |       0.0739 |              |      5.0000e-06 |
|      50 |        2000 |       01:18:16 |       99.38% |       98.93% |       0.0581 |       0.1396 |      5.0000e-06 |
|      51 |        2020 |       01:19:02 |       99.40% |              |       0.0682 |              |      5.0000e-07 |
|      51 |        2040 |       01:19:47 |       99.23% |              |       0.0809 |              |      5.0000e-07 |
|      52 |        2060 |       01:20:34 |       99.10% |              |       0.0910 |              |      5.0000e-07 |
|      52 |        2080 |       01:21:19 |       99.47% |              |       0.0526 |              |      5.0000e-07 |
|      53 |        2100 |       01:22:11 |       99.36% |       98.91% |       0.0561 |       0.1375 |      5.0000e-07 |
|      53 |        2120 |       01:22:56 |       99.32% |              |       0.0697 |              |      5.0000e-07 |
|      54 |        2140 |       01:23:43 |       99.11% |              |       0.0782 |              |      5.0000e-07 |
|      54 |        2160 |       01:24:28 |       99.42% |              |       0.0561 |              |      5.0000e-07 |
